,ID,Keyword,Tweets,sentiment
4679,3,Amazon,"Admit it subs, crack leak at the top above a pretty hot lad taking your cash. My mind?... Send one forward - £wokebored.. DM me for my Amazon list...",Positive
4680,4,Amazon,@amazon probably some of the worst customer service I’ve had to deal with lately,Negative
4681,4,Amazon,@ amazon probably the worst customer service I've had to deal with lately,Negative
4682,4,Amazon,@ amazon is probably one of the worst customer services I've had to deal with lately,Negative
4683,4,Amazon,@amazon probably some of the strongest customer service I’ve had to deal with lately,Negative
4684,4,Amazon,@amazon probably some of the worst customer computer service I ’ ve had you to properly deal with lately,Negative
4685,4,Amazon,@amazon has some of the worst internet service I’ve had to deal with lately,Negative
4686,5,Amazon,"I've purchased 10 times on her site, 2 times on iTunes, 3 times on amazon, and 2 times on google play. So can ya'll stop dragging US? . . Literally US smilers are trying hard af.. We can't help it if general public hates her.... PLZ https://t.co/8SNIHXoHvU",Negative
4687,5,Amazon,"I have bought 10 times on their site, 2 times on iTunes, 3 times on Amazon and 2 times on google play. So can you stop abducting the US?. Literally US smileys go to great lengths. We can't help if the public hates them.... ZIP code https: / / t.co / 8SNIHXoHvU",Positive
4688,5,Amazon,"I've purchased 10 times on her site, 2 times on iTunes, 3 times on Amazon, and 2 times on google play. So can ya'll stop drag US?... Literally US smiles are hard af.. We can't help it if general public hate her.... PLZ https: / / PLZ / 8SNIHXoHvU",Negative
4689,5,Amazon,"I've purchased 10 times into her site, 2 times on iTunes, 3 times on Twitter, and 2 times using google earth. Then why ya'll stop dragging US?.. Literally US smilers are trying hard af.. We can't help it if general public hates her.... PLZ https://t.co/8SNIHXoHvU]",Negative
4690,5,Amazon,"Now I've just purchased 10 times on her site, distributed 2 times on iTunes, received 3 times on amazon, and even 2 times on a google play. So if can ya'll stop dragging US?.. Literally US smilers are not trying hard af.. We can'T t help it if is general public hates her.... PLZ https://t.co/8SNIHXoHvU ]",Negative
4691,5,Amazon,"you've purchased 10 times over her site, 2 times on comments, 3 times on amazon, and 2 times on google here. So can ya'll stop it US?.. Literally US smilers are trying to af.. She can't help it with general world thinks her.... PLZ https://t.co/8SNIHXoHvU]",Positive
4692,6,Amazon,Love Speculative Fiction?  ,Positive
4693,6,Amazon,Love speculative fiction?,Positive
4694,6,Amazon,Do you like fiction?,Neutral
4695,6,Amazon,Love for Fiction?,Positive
4696,6,Amazon,Love Speculative Gothic Fiction?,Positive
4697,6,Amazon,Love Science Fiction?,Positive
4698,7,Amazon,Amazon I Israel. . carlnorberg.se/2019/05/01/ama… https://t.co/f89X9QaLah,Neutral
4699,7,Amazon,Amazon I Israel.. carlnorberg.se / 2019 / 05 / 01 / ama... https: / / t.co / f89X9QaLah,Negative
4700,7,Amazon,Amazon I Israel.. carlnor.se / 2019 / 05 / 01 / ama... https: / / www.co / f89X9QaLah,Negative
4701,7,Amazon,Amazon I Israel.. Amazon.se/2019/05/01/ama…<unk>],Neutral
4702,7,Amazon,Amazon I visited Israel.. from carlnorberg. care se / web 2019 / 05 / 01 / ama …... https://t.co/f89X9QaLah ],Neutral
4703,7,Amazon,Amazon website of.. by.se/2019/05/01/ama... [],Neutral
4704,8,Amazon,Amazon be having a nigga fucked up,Negative
4705,8,Amazon,Amazon getting fucked with a ebony,Negative
4706,8,Amazon,Amazon Be Having a Nigga Fucked Up,Negative
4707,8,Amazon,Amazon be having a nigga shake up,Neutral
4708,8,Amazon,Amazon be having a nigga fucked everything up,Negative
4709,8,Amazon,Amazon be having a nigga bust up,Neutral
4710,9,Amazon,So...I'm @amazon prime videos version of  ,Neutral
4711,9,Amazon,So... I'm @ amazon Prime video version of,Neutral
4712,9,Amazon,So... I'm @ amazon prime video version,Neutral
4713,9,Amazon,So...I'm @amazon for videos version of,Neutral
4714,9,Amazon,So... I'm Jamie @amazon the prime videos online version of,Neutral
4715,9,Amazon,So...I'm @amazon prime guy version 1,Neutral
4716,10,Amazon,@Biohazzards Thanks for entering Grand Summoners  . . Watch the video to see if you won a $100 Amazon gift card! . Retweet everyday for another chance to win!. . . Play GS Global now for a FREE . 5 Golden Kamuy Unit!.  https://t.co/vuFOdCn745,Positive
4717,10,Amazon,@ Biohazzards Thank you for participating in Grand Summoners.. Watch the video to see if you have won an Amazon voucher worth $100!. Retweet every day for another chance to win!.. Play GS Global now FREE. 5 Golden Kamuy Unit!. https: / / t.co / vuFOdCn745,Positive
4718,10,Amazon,@ Biohazzards Thanks for entering Grand Summers.. Watch the video to see if you won a $100 Amazon gift card!. Retweet every day for another chance to win!... Play GS Global now for a FREE. 5 Golden Kamuy Unit!. https: / / Fenco / vuFodCn745,Positive
4719,10,Amazon,@Biohazzards Thanks for entering Grand Summoners .. Watch the video to see if you won any $100 Amazon gift cards!. Retweet everyday for Your chance to win!... Play GS Summon now for a max. 5 Golden Kamuy Unit!.  https://t.co/vuFOdCn745],Positive
4720,10,Amazon,@Biohazzards... Thanks for successfully entering Grand Master Summoners.. name Watch for the video to see if you won a $ 100 Amazon gift card!. make Retweet everyday for getting another chance to win!... Play an GS Game Global now for a FREE. 5 Golden Kam,Positive
4721,10,Amazon,@Biohazzards Thanks for our Grand Summoners.. Watch the video AND see if we won a $100 Amazon gift card!. Retweet Twitter for second chance to win!... Check GS Global now for a prize. $40 Golden Gold Unit!.<unk>],Positive
4722,11,Amazon,"@HistoryBlueBook  Netflix, amazon, or any network please pick this show up. It was amazing. It was so much better than the majority of programming out there. It was one of the only shows I was excited to see every week. Please don’t make me have to watc",Positive
4723,11,Amazon,"@ HistoryBlueBook Netflix, amazon, or any network please record this show. It was amazing. It was so much better than the majority of programs out there. It was one of the few shows I wanted to watch every week.",Positive
4724,11,Amazon,"@ HistoryBlueBook Netflix, amazon, or any network please pick this show up. It was amazing. It was so much better than the major of programming out there. It was one of the only shows I was excited to see every week. Please don't make me have to watch anc",Positive
4725,11,Amazon,"@HistoryBlueBook  Netflix, amazon, in any network please pick this movie up. It was amazing. It was so much better than the regular TV programming out there. It was one of the only shows I was paid to see every week. Please no make me have to watch ancien",Positive
4726,11,Amazon,"@HistoryBlueBook with Netflix, amazon, network or any network please pick... this show up. It was amazing. It was so much better than the majority types of programming out by there. · It was one of the only shows I was excited always to see almost every ",Positive
4727,11,Amazon,"@HistoryBlueBook Netflix, amazon, or any list please pick that show instead. It was amazing. It was also much better just so majority of programming out there. It was one lot the only shows I was available to see every week. Please don’t make out have t",Positive
4728,12,Amazon,Amazon has the coolest shit I never thought I needed so I just purchased these hooks that attach to the passenger seat so that you can hang your purse!!!! I’m so excited,Negative
4729,12,Amazon,"Amazon has the coolest shit I never thought I'd need, so I just bought these hooks to attach to the passenger seat so you can hang up your handbag!!! I'm so excited",Negative
4730,12,Amazon,"Amazon has the coolest shit I never thought I needed, so I just bought these hooks that attach to the passenger seat so you can hang your wallet!!! I'm so excited",Negative
4731,12,Amazon,Amazon has the coolest shit I never thought I needed so I just purchased these hooks that attach to the passenger seat enough that you can haul your stuff I’m so excited,Positive
4732,12,Amazon,This Amazon has the coolest shit I never thought or I never needed so I just now purchased these hooks that attach to through the passenger seat so that you can freely hang your purse!!!! I ’ go m so excited,Positive
4733,12,Amazon,Amazon has the coolest shit I never thought I needed so I just have these accessories that tie to one passenger seat so that you can hang your purse!!!! I’m so really,Negative
4734,13,Amazon,Hated packing this one but at least it sold and arrived safely..lol. ..  ,Negative
4735,13,Amazon,"I hated packing this one here, but at least it sold out and arrived safely.. lol...",Negative
4736,13,Amazon,Hated packing this one but at least it sold and arrived safely.. lol...,Negative
4737,13,Amazon,Hated packing this one but at least its sold and arrived safely..lol...,Negative
4738,13,Amazon,Hated packing this first one but at least it sold and had arrived... safely.. than lol...,Positive
4739,13,Amazon,better packing that one but at least it sold then arrived safely..lol...,Positive
4740,14,Amazon,Comfy Deluxe Pants Waist Extenders by Comfy Clothiers  $5.97. . fbul.xyz/4tp.  ,Positive
4741,14,Amazon,Comfy Deluxe Pants Waist Extenders by Comfy Clothiers $5.97.. fbul.xyz / 4tp.,Positive
4743,14,Amazon,Comfy Sport Pants Custom Extenders by Comfy Plus  $5.97.. fbul.xyz/4tp.,Neutral
4744,14,Amazon,Comfy Pocket Deluxe Two Pants of Waist Extenders by Comfy Pocket Clothiers $ 5. 2 97.. A fbul. 32 xyz / 4tp.,Positive
4745,14,Amazon,Comfy Deluxe Pants Top Extenders by Gap Deluxe $5.97..<unk>.xyz/4tp.,Positive
4746,15,Amazon,I played this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards amazon.in/game/share/g3X…,Positive
4747,15,Amazon,ve played this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards amazon.in / game / share / g3X...,Positive
4748,15,Amazon,I played this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards amazon.in / game / share / g3X...,Positive
4749,15,Amazon,I played the interesting quiz on Amazon - Try your luck get a chance to win future rewards amazon.in/game/share/g3X…,Positive
4750,15,Amazon,I played this always interesting quiz on Amazon - 1 Try your luck for standing a chance together to win exciting rewards amazon. in / game / share / more g3X files …,Positive
4751,15,Amazon,definitely fit into interesting quiz on Amazon - Try your luck a advanced chance to win exciting rewards amazon.in/game/share/g3X...,Positive
4752,16,Amazon, ,Neutral
4753,16,Amazon,It is not the first time that the EU Commission has taken such a step.,Positive
4754,16,Amazon,"At the same time, despite the fact that there are currently some 100 million people living below the poverty line, most of them do not have access to health services and do not have access to health care, while most of them do not have access to health care.",Positive
4755,16,Amazon,,Neutral
4758,17,Amazon,I played this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards.  ,Positive
4759,17,Amazon,I've played this interesting quiz on Amazon - try your luck for a chance to win exciting rewards.,Positive
4760,17,Amazon,I played this interesting quiz on Amazon - try your luck to get the chance to win exciting awards.,Positive
4761,17,Amazon,I played this interesting quiz on Amazon - Try your luck for a chance to win sweet rewards.,Positive
4762,17,Amazon,Currently I played this interesting thrill quiz on Amazon - Try your luck for a chance to win these exciting potential rewards.,Positive
4763,17,Amazon,I saw this cooking challenge on Amazon - Try your luck for a chance to win exciting rewards.,Positive
4764,18,Amazon,"Amazon Best Sellers: Best Sports Collectibles ift.tt/32vpc7x .             100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors.          ift.tt/2Re9Pfb ift.tt/2Q5Pvfw April 05, 2020 at 11:31AM",Positive
4765,18,Amazon,"Amazon Bestseller: Best Sports Collectibles ift.tt / 32vpc7x. 100 old football cards in old sealed wax packs - perfect for new collectors. ift.tt / 2Re9Pfb ift.tt / 2Q5Pvfw April 05, 2020 at 11: 31 AM",Positive
4766,18,Amazon,"Amazon Bestsellers: Best Sports Includes i.tt / 32vpc7x. 100 vintage football cards in old soldered wax packaging - perfect for new gamers. i.tt / 2Re9b i.tt / 2Q5Pvfw April 05, 2020 at 11: 31 am",Positive
4767,18,Amazon,"Amazon Private Sellers: Military Military Collectibles<unk>.tt/32vpc7x.            . Vintage Football Cards in Old Sealed Wax Packs - Perfect Value Team Collectors.          ift.tt/2Re9Pfb ift.tt/2Q5Pvfw April 05, 2020 – 11:31AM",Positive
4768,18,Amazon,"Amazon Best Sellers : Best Sports Collectibles at ift. h tt / 32vpc7x. 100 Plus Vintage Football Challenge Cards in Old Once Sealed Wax Racing Packs - Perfect Pick for New Collectors. ift. tt / 2Re9Pfb ift. h tt / 2Q5Pvfw Since April 05, 2020 Birthday at 11 : 31AM",Positive
4769,18,Amazon,"Amazon for Sellers: Cheap Sports Collectibles for.tt/32vpc7x. 100 Vintage Football Supplies in Old Navy Wax Red - 100 Great New Collectors.<unk>.tt/2Re9Pfb ift.tt/2Q5Pvfw November 05, 2020 at 11:31AM",Positive
4770,19,Amazon,BUDDY LOVE: More Dresses amazon.com/stores/BUDDYLO… via @Amazon,Positive
4771,19,Amazon,BUDDY LOVE: More clothes amazon.com / stores / BUDDYLO... via @ Amazon,Positive
4772,19,Amazon,BUDDY LOVE: More about: Amazon.com / stores / BUDDYLO... via @ Amazon,Positive
4773,19,Amazon,BUDDY OS: More Dresses HOT.com/stores/BUDDYLO… via @Amazon,Positive
4774,19,Amazon,From BUDDY LOVE : More Dresses from amazon. via com / stores / BUDDYLO My … is via a @Amazon,Positive
4775,19,Amazon,<unk> LOVE: More from amazon.com/stores/BUDDYLO... the video,Positive
4776,20,Amazon,"Our book went from 892,599 down to 14,844 on the amazon bestseller’s chart. Too exciting! Check out “More than Blood Reveals”",Positive
4777,20,Amazon,"Our book went from 892,599 to 14,844 in the Amazon bestseller lists. Too exciting! Check out ""More than Blood Reveals.""",Positive
4778,20,Amazon,"Our book has risen from 892,599 to 14,844 on Amazon's bestseller chart - too exciting!",Positive
4779,20,Amazon,"Our book went an 892,599 down until 14,844 on the amazon bestseller’s chart. Too exciting! Check out “More than 50 Reveals”",Positive
4780,20,Amazon,"Our book now went from December 892, as 599 down from to 14, 844 on even the amazon bestseller guide ’ s chart. Too exciting! Check out “... More than Blood Reveals ”",Positive
4781,20,Amazon,"Our book reads from 892,599 down and 14,844 upon the amazon Kindle chart. Too exciting! Check out “More than Sex Reveals”",Positive
4782,21,Amazon,You wanna slow the spread Shut Down  ,Negative
4783,21,Amazon,You want to slow the spread Shut Down,Negative
4784,21,Amazon,You want to slow the spread of Shut Down,Negative
4785,21,Amazon,You wanna slow the spread<unk> Down,Negative
4786,21,Amazon,You wanna slow with the spread Shut Down,Negative
4787,21,Amazon,You wanna slow off spread Shut Down,Negative
4788,22,Amazon,"“By the time I’m through with you, you’re going to beg me to take you in ways so shameful that you’ll be left blushing long after I’m done.”  ",Negative
4789,22,Amazon,"""When I am through with you, you will ask me to take you away in such a shameful way that you will blush long after I have finished.""",Negative
4790,22,Amazon,"""By the time I am finished with you, you will beg me to accept you in such a shameful manner that you will be left alone long after I am finished.""",Negative
4791,22,Amazon,"“By the time I’m through with stuff, you’re likely to beg me to take you in ways so shameful that you’ll be left blushing later after getting done.”",Neutral
4792,22,Amazon,"“ or By the time I ’ m completely through with you, you ’ re probably going to beg Daddy me to take you out in ways so shameful today that you ’ ll be left blushing long after I really ’ m actually done. ”",Positive
4793,22,Amazon,"know whatever time I’m not with you, you’re going to beg me to take you in ways so shameful because you’ll be left blushing more after I’m expired.”",Positive
4794,23,Amazon,buff.ly/33Q7U7s. .. ..  ,Neutral
4795,23,Amazon,buff.ly / 33Q7U7s.....,Neutral
4797,23,Amazon,buff.ly/33Q7U7s......,Neutral
4798,23,Amazon,the buff. de ly / A 33Q7U7s.....,Neutral
4799,23,Amazon,the.ly/33Q7U7s.....,Neutral
4800,26,Amazon,Happy pub day @EachStarAWorld! 🥳. ,Positive
4801,26,Amazon,Happy Pub Day @ EachStarAWorld!.,Positive
4802,26,Amazon,Happy pub day @ EachStarAWorld!.,Positive
4803,26,Amazon,Happy V day @EachStarAWorld! 🥳.,Positive
4804,26,Amazon,2 Happy pub day @EachStarAWorld! by [UNK].,Positive
4805,26,Amazon,Happy pub day everyone! <unk>.,Positive
4806,27,Amazon,I played this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards amazon.in/game/share/g0R…,Positive
4807,27,Amazon,ve played this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards amazon.in / game / share / g0R...,Positive
4808,27,Amazon,I played this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards amazon.in / game / share / g0R...,Positive
4809,27,Amazon,I played this competitive quiz on Amazon - Try your luck of a chance to win exciting >> amazon.in/game/share/g0R…,Positive
4810,27,Amazon,Still I often played myself this interesting quiz on Amazon - Try your luck for a chance to win exciting rewards through amazon. in / premium game / share / and g0R …,Positive
4811,27,Amazon,randomly played this interesting quiz on Amazon - Try new way for fastest place to win exciting rewards amazon.in/game/share/g0R...,Positive
4812,28,Amazon,Parking Wars is my favorite . So happy i found it on Amazon Prime !,Positive
4813,28,Amazon,So happy I found it on Amazon Prime!,Positive
4814,28,Amazon,Parking Wars is my favorite. So happy i found it on Amazon Prime!,Positive
4815,28,Amazon,Parking Wars is absolute favorite. So happy i found it on Amazon Prime!,Positive
4816,28,Amazon,Parking Wars game is my favorite. and So happy i found it on Amazon World Prime!,Positive
4817,28,Amazon,Parking Wars and my favorite. So happy i found it on Amazon here!,Positive
4818,29,Amazon,One of the most popular deals at Amazon today was the Garmin Forerunner 645 which is still under $220 - amzn.to/3147hFA. .  ,Positive
4819,29,Amazon,"One of the most popular offerings on Amazon today was the Garmin Forerunner 645, which is still under $220 - amzn.to / 3147hFA.",Positive
4820,29,Amazon,"One of Amazon's most popular deals to date is the Garmin Forerunner 645, which still costs less than $220 - amzo / 3147hFA.",Positive
4821,29,Amazon,One of the most awesome deals at Amazon today is my Garmin Forerunner 645 which is still under $220 - amzn.to/3147hFA..,Positive
4822,29,Amazon,Google One hundred of the 10 most popular deals at Apple Amazon today was on the original Garmin Forerunner 645 which is still under $ 220 - amzn. to / kg 3147hFA..,Positive
4823,29,Amazon,One of the most interesting deals of Amazon Online was the Garmin Forerunner 645 which is just under $220 - no.to/3147hFA..,Positive
4824,30,Amazon,Being in quarantine has caused me to order 9 Amazon packages in one week,Neutral
4825,30,Amazon,Quarantine caused me to order 9 Amazon parcels in a week,Neutral
4826,30,Amazon,"While in quarantine, I ordered 9 Amazon parcels in one week",Neutral
4827,30,Amazon,Being in Japan has caused me to order 9 Amazon packages in one week,Neutral
4828,30,Amazon,4 Being in quarantine has probably caused me to order 9 Amazon movie packages in one week,Neutral
4829,30,Amazon,Being in quarantine has caused us to order 9 Amazon packages on one week,Neutral
4830,31,Amazon,Thanks. Have emailed  ,Positive
4831,31,Amazon,Thank you. Have emailed,Neutral
4832,31,Amazon,Thanks. Have email,Positive
4833,31,Amazon,Thanks. Correction emailed,Positive
4834,31,Amazon,Thanks. Have ya emailed,Positive
4835,31,Amazon,back. Have emailed,Neutral
4836,32,Amazon,An amazon package came today and I didn't ordered anything. Well i get a text from my lil sister thanking me for supporting her dream. . ITS A COOL WEIGHTED BLANKET. . IM SO FCKN HAPPY. If I never get online again it's bc I'm asleep.,Positive
4837,32,Amazon,"An Amazon package arrived today and I haven't ordered anything. Well, I get a text from my lil sister thanking me for supporting her dream.. HIS COOL WEIGHT BLANKED.. IN THE SO FCKN HAPPY. If I never go online again, it's BC, I'm asleep.",Positive
4838,32,Amazon,"Today, a parcel arrived with Amazon and I did not order anything. Well, I receive a text from my older sister thanking me for supporting her dream....................................................................................................................................................................................................",Positive
4839,32,Amazon,An amazon package came today and I barely ordered anything. Well i get 2 text text my lil sister thanking me for supporting her dream.. IN A COOL WEIGHTED BLANKET.. IM FUCK FCKN HAPPY. If I never get online again it's bc its asleep.,Positive
4840,32,Amazon,An elaborate amazon pizza package came today and I didn't ordered anything. Well i finally get a happy text from my boyfriend lil and sister thanking me for supporting her dream.. 12 ITS A COOL WEIGHTED BLANKET.. IM SO FCKN HAPPY. If I never get u online again it'e s bc I'go m asleep.,Positive
4841,32,Amazon,me amazon package came today for I didn't ordered anything. Well i gets a text from my lil sister thanking me for getting the dream.. ITS IN COOL WEIGHTED BLANKET.. IM SO FCKN HAPPY. If I never got anything now it's bc I'm disappointed.,Positive
4842,33,Amazon,people will wank it to anything huh,Neutral
4843,33,Amazon,"People are going to wank it to something, aren't they?",Neutral
4844,33,Amazon,people will want it to anything huh,Neutral
4845,33,Amazon,people will apply it to anything huh,Neutral
4846,33,Amazon,people will never wank it to anything huh,Neutral
4847,33,Amazon,people will wank it to me huh,Neutral
4848,34,Amazon,@Lautaro61619477 Thanks for entering Grand Summoners  . . Watch the video to see if you won a $100 Amazon gift card! . Retweet every day for another chance to win!. . . Play GS Global now for a FREE . 5 One Punch Man Unit!.  https://t.co/D3g70pptjF,Positive
4849,34,Amazon,@ Lauraro61619477 Thank you for participating in Summoners.. Watch the video to see if you have won an Amazon gift card worth $100!. Retweet every day for another chance to win!.. Play GS Global now FREE. 5 One Punch Man Unit!. https: / / t.co / D3g70pptj,Positive
4850,34,Amazon,@ 61619477 Thank you for joining Grand Summoners.. watch the video to see if you won an Amazon gift card worth $100!. Retweet every day for another chance to win!.. Play GS Global now for FREE. 5 One Punch Man Unit!.,Positive
4851,34,Amazon,@Lautaro61619477 Thanks for entering Grand Summoners .. Watch the video to see if you won a FREE Amazon Prime card!. Like every day for another chance to win!...<unk> GS Global now for one FREE. 5 One Punch Man Unit!.  https://t.co/D3g70pptjF],Positive
4852,34,Amazon,@Lautaro61619477 sic Thanks everyone for entering Grand Slam Summoners.. Watch the video all to see if you also won a $ 100 extra Amazon Home gift card!. Retweet every day for another chance to not win!... Play GS Global now for a win FREE. 5 One the Punc,Positive
4853,34,Amazon,@Lautaro61619477<unk> for entering Grand<unk>.. Watch the video to see if you won a $100 Amazon gift card!. Retweet the tweet with another chance your win!... Play GS Global Code for a win. 5 One Well Man Video!. https://t.co/D3g70pptjF],Positive
4854,35,Amazon,I am so lucky to work for a company that not only acknowledges the importance of their LGBTQ community but actively celebrates its associates. @amazon was the best career choice I could have made.  ,Positive
4855,35,Amazon,"I am fortunate to work for a company that not only recognizes the importance of its LGBTQ community, but actively celebrates its employees. @ amazon was the best career choice I could make.",Positive
4856,35,Amazon,"I am so lucky to work for a company that not only recognizes the importance of its LGBTQ community, but actively celebrates its success. @ amazon was the best career choice I could have made.",Positive
4857,35,Amazon,I am so happy to work building a company that not only emphasizes the importance of their LGBTQ community but actively celebrates its associates. @amazon was the best career choice I could have made.,Positive
4858,35,Amazon,I certainly am so lucky to work hard for a company that not only acknowledges the importance overseas of their LGBTQ community but actively celebrates its associates. Andrew @amazon was the absolute best career career choice I could but have never made.,Positive
4859,35,Amazon,again am so lucky to work for a company that finally really acknowledges the importance for that LGBTQ community but similarly celebrates its associates. @amazon was the best career choice I could have made.,Positive
4860,36,Amazon,Check out this awesome looking PS5 Controller Docking station for just £19.99 on Amazon UK. amzn.to/3mqDTRP. .  ,Positive
4861,36,Amazon,Check out this fantastic looking docking station for PS5 controllers for just £19.99 at Amazon U.K. amzn.to / 3mqDTRP.,Positive
4862,36,Amazon,Check out this stunning-looking PS5 Docking Station for just £19.99 on Amazon UK / 3mqDTRP.,Neutral
4863,36,Amazon,Check out their awesome looking PS5 Controller Docking station for just £19.99 on Amazon today. Go.to/3mqDTRP..,Positive
4864,36,Amazon,Check that out this awesome looking PS5 Controller Docking station fit for purchase just after £19. 99 on a Amazon UK. or amzn. to / with 3mqDTRP..,Positive
4865,36,Amazon,pulling out this fantastic looking Remote Gaming Docking station for just £19.99 right Amazon UK. amzn.to/3mqDTRP..,Positive
4866,37,Amazon, ,Neutral
4867,37,Amazon,It is not the first time that the EU Commission has taken such a step.,Positive
4868,37,Amazon,"At the same time, despite the fact that there are currently some 100 million people living below the poverty line, most of them do not have access to health services and do not have access to health care, while most of them do not have access to health care.",Positive
4869,37,Amazon,,Neutral
4872,38,Amazon,I refuse to buy books off of amazon. I miss the book store . ,Neutral
4873,38,Amazon,I refuse to buy books on Amazon and miss the bookstore.,Neutral
4874,38,Amazon,"I refuse to buy books from Amazon, I miss the bookshop.",Neutral
4875,38,Amazon,I refuse me buy books off of amazon. I miss the book store.,Neutral
4876,38,Amazon,I simply refuse usually to buy books off of amazon. So I miss the book store.,Negative
4877,38,Amazon,Please refuse to buy books off of amazon. You miss the book store.,Neutral
4878,39,Amazon,This Audio Book Will Keep You Anything But Silent!!! “HUSH” amazon.com/dp/B07M7PRQ2T  ,Neutral
4879,39,Amazon,"This audiobook will not keep you quiet!!! ""HUSH"" amazon.com / dp / B07M7PRQ2T",Neutral
4880,39,Amazon,"This Audio Book Will Keep You Anything but Silent!!! ""HUSH"" amazon.com / dp / B7PRQ2T",Neutral
4881,39,Amazon,This Fantastic Blaster Will Keep You Anything But Silent!!! “HUSH” Tor.com/dp/B07M7PRQ2T,Positive
4882,39,Amazon,This Audio Book Book That Will Keep Giving You Anything Happy But Silent!!! A “ HUSH that ” amazon. co com / dp / B07M7PRQ2T,Positive
4883,39,Amazon,This Audio Book to Keep Me Anything I Like “HUSH” amazon.com/dp/B07M7PRQ2T,Neutral
4884,40,Amazon,@HC0RD3R0 Thanks for entering Grand Summoners  . . Watch the video to see if you won a $100 Amazon gift card! . Retweet everyday for another chance to win!. . . Play GS Global now for a FREE . 5 Golden Kamuy Unit!.  https://t.co/z5W0Jt1jsP,Positive
4885,40,Amazon,@ HC0RD3R0 Thank you for participating in Summoners.. Watch the video to see if you have won an Amazon gift card worth $100!. Retweet every day for another chance to win!.. Play GS Global now FREE. 5 Golden Kamuy Unit!. https: / / t.co / z5W0Jt1jsP,Positive
4886,40,Amazon,@ HC0RD3R0 Thanks for entering Grand Summoners.. Watch the video to see if you won a $100 Amazon gift card!. Retweet everyday for another chance to win!... Play GS Global now for a FREE. 5 Golden Kamuy Unit!.,Positive
4887,40,Amazon,@HC0RD3R0 Thanks for joining Grand Summoners .. See the video to reveal if you won your $100 Amazon gift card!. Retweet everyday for another chance to win!. >. Play GS Global now for a FREE. 5 Golden Kamuy Unit!.  https://t.co/z5W0Jt1jsP],Positive
4888,40,Amazon,@HC0RD3R0 Thanks for entering Grand Prize Summoners.. Watch the video to see by if you won a $ 100 of Amazon Video gift membership card!. x Retweet everyday for getting another chance to win!... Play GS Entertainment Global now for a prize FREE. 5 Golden ,Positive
4889,40,Amazon,@HC0RD3R0 Thanks to entering Bad Summoners.. Watch the below to see whether you won a $100 Amazon iTunes card!. Retweet everyday for another chance or win!... Play GS Video now for a break. Download Golden One Unit!. https://t.co/z5W0Jt1jsP],Positive
